id,xcenter,ycenter,aperture_sum,aper_radius,aperture_sum_bkgsub,fluxerr,inst. mag,filter,exptime,dateobs,ra,dec,RAJ2000,DEJ2000,TIC,GAIA,Tmag,Bmag,Vmag,distance
1,156.07556414513977,14.93445300378365,246319.1501447645,8.885452093403151,1297.2965047736652,36.018002509490515,-6.035173109151039,Johnson V,5.0,2022-07-02T00:12:09,276.8928238726773,6.5736134871727865,276.88450760071,6.55237058830,319339484,4477222034190908416,11.512,14.467,12.049,0.022792929983989796
1,130.9260288088891,25.091310289208987,275014.4752401744,9.381405986801374,1549.0772864155588,39.358319151299625,-6.227757704356026,Johnson V,5.0,2022-07-02T00:12:09,276.9016848161593,6.570184281095813,276.90653094176,6.55023593863,319710487,4477223447246925952,10.748,11.741,11.170,0.020521080980920387
1,805.3069046993961,57.98897348385403,254761.44684873312,9.052252934254549,909.5283045996912,30.15838696945994,-5.649615536389287,Johnson V,5.0,2022-07-02T00:12:09,276.66542552785666,6.555826865293593,276.66545788285,6.55593089160,414958252,4477220079992821760,12.447,16.530,14.117,0.00010887916278944567
1,471.4523594386767,113.10689852293054,269579.9865341514,9.286115623683076,2470.543930535903,49.704566495805025,-6.734556441159184,Johnson V,5.0,2022-07-02T00:12:09,276.78273299137487,6.538106630655602,276.78249367414,6.53820705815,319339426,4477224752917101696,12.660,15.049,13.728,0.0002581004988611887
1,265.1548004161263,132.54357925638797,307476.4593359588,9.870679920423527,5353.601451690891,73.16830906677352,-7.5741900817756616,Johnson V,5.0,2022-07-02T00:12:09,276.8551319024228,6.532228078430197,276.85459651944,6.53291439260,319339404,4477221901059328640,12.912,13.387,13.109,0.0008683041607614897
1,504.00172434729814,150.15069823922283,252317.05520758108,8.99813673068065,1706.9420468144235,41.31515517112847,-6.333121930236246,Johnson V,5.0,2022-07-02T00:12:09,276.77149422043726,6.5250723552175,276.76611569993,6.52037503661,319339343,4477224546758666880,12.580,14.114,13.255,0.007114772099868386
1,903.6881071622519,190.21010076630665,236977.93908548012,8.717588923834288,1709.5705635823833,41.34695349820085,-6.334792567349764,Johnson V,5.0,2022-07-02T00:12:09,276.63155419265246,6.509353685477678,276.63295871935,6.51699709559,26026852,4477219461517514624,10.144,10.833,10.309,0.007769751039417786
1,722.8956623303395,210.9602803173708,252253.14577945138,8.95157840491839,3665.902816158894,60.5466994654448,-7.163027358015841,Johnson V,5.0,2022-07-02T00:12:09,276.69503933116744,6.502941829279332,276.69505654568,6.50288148639,414958465,4477218838735244928,12.320,13.744,12.929,6.272003481805822e-05
1,668.5333552055993,216.75054680664917,223617.6846868628,8.480210967675367,1082.1259121114854,32.89568227156089,-5.838269480628263,Johnson V,5.0,2022-07-02T00:12:09,276.71412431117346,6.501168041548127,276.71393805538,6.50118200325,414958471,4477218808682388480,12.073,16.179,14.238,0.00018558400465796312
1,563.7275775954334,350.19215126650016,264091.9816751098,9.170726171306129,3949.0879091188253,62.84176882550988,-7.243816992924126,Johnson V,5.0,2022-07-02T00:12:09,276.7514714680234,6.455186931615449,276.75116905486,6.45512275292,414958653,4477215471480887552,11.791,14.521,13.106,0.0003072730013735675
1,679.9892108177628,364.54095959415525,249198.64460865676,8.945100274381515,1763.4135689848918,41.99301809807068,-6.368460434775742,Johnson V,5.0,2022-07-02T00:12:09,276.710784922246,6.449674752564702,276.70221843662,6.43165421806,414958739,4477215029111094912,12.656,14.788,13.544,0.019929900549055836
1,898.0723076228844,369.612209934693,328272.9912807377,9.871770729676681,26489.83060470398,162.75696791444594,-9.310272941936105,Johnson V,5.0,2022-07-02T00:12:09,276.6343573033067,6.4469228631768125,276.63386278858,6.44680349786,26027176,4477216777151949568,11.092,,11.679,0.0005056776368523073
1,229.2871581292941,377.46316683025174,242629.2465723445,8.820767053490027,1355.9480929262645,36.82320047098384,-6.083182650695579,Johnson V,5.0,2022-07-02T00:12:09,276.8687973125821,6.447157926680646,276.86514173242,6.45634722185,319339005,4477220183071706112,12.970,15.431,14.083,0.00988117828461389
1,813.6000340541461,408.7931210624894,231871.0412936668,8.627976917431429,1593.2309644839843,39.91529737436493,-6.258271835018761,Johnson V,5.0,2022-07-02T00:12:09,276.6641497489285,6.433668419596203,276.66409586607,6.43376130962,414958732,4477216472220151040,12.660,15.324,13.743,0.00010721690286861804
1,720.6132847702013,429.00818564133374,231482.77268575103,8.612921362228583,2008.4629313072073,44.815878115989285,-6.509734540895906,Johnson V,5.0,2022-07-02T00:12:09,276.69683651126155,6.427053013496833,276.70221843662,6.43165421806,414958739,4477215029111094912,12.656,14.788,13.544,0.007054998792426226
1,65.01799177518849,439.08550376970527,247727.7650606641,8.881933952047921,1180.5384007583198,34.35896390693875,-5.932775285287237,Johnson V,5.0,2022-07-02T00:12:09,276.9266196292226,6.426421803938758,276.94071799962,6.41381623139,319711174,4477172285594781440,12.332,14.954,13.483,0.018846201528505788
1,676.0175174732371,441.73016013447756,235048.43155823782,8.63870745245906,2395.802922062634,48.94693986412873,-6.701202714833665,Johnson V,5.0,2022-07-02T00:12:09,276.712525101601,6.422825916148604,276.71251030198,6.42292551998,414958778,4477214960391598720,11.999,,13.194,0.00010068371814304693
1,610.9613225281984,525.8827354943603,233694.8180205744,8.629129747835782,2969.315851177642,54.491429153378256,-6.934215980899864,Johnson V,5.0,2022-07-02T00:12:09,276.73570066148955,6.393829774811789,276.73568199435,6.39386033590,414958893,4477213895239645568,12.029,14.747,13.241,3.575081463653641e-05
