id,xcenter,ycenter,aperture_sum,aper_radius,circular_annulus_inner,circular_annulus_outer,aperture_sum_bkgsub,fluxerr,inst. mag,filter,exptime,dateobs,xcentroid,ycentroid,ra,dec,RAJ2000,DEJ2000,TIC,GAIA,Tmag,Bmag,Vmag,distance,ref mag,mag
1,545.292241703911,34.31746967241295,255116.31555699307,9.047428934537091,11.047428934537091,13.047428934537091,1931.545522908389,43.9493517916748,-6.467337359431346,Johnson V,5.0,2022-07-02T00:12:09,545.292241703911,34.31746967241295,276.7564799213097,6.565209726545565,276.75653569187,6.56510699274,414958202,4477225027795066752,12.121,15.314,13.543,0.00011672159821207517,nan,-3.233328068727966
1,363.27030422023773,37.581322439673194,253662.2488285217,8.928835242429248,10.928835242429248,12.928835242429248,7052.22517728855,83.97752781124574,-7.873390416298421,Johnson V,5.0,2022-07-02T00:12:09,363.27030422023773,37.581322439673194,276.8203049797103,6.5648572124824565,276.82032962616,6.56481495395,319339544,4477225130874215936,11.995,12.857,12.456,4.883944351827183e-05,nan,-3.935458214617514
1,467.75629357225006,42.010152068040156,249567.39652486105,8.940690341564462,10.940690341564462,12.940690341564462,1919.7253247202898,43.81467019983478,-6.460672724340806,Johnson V,5.0,2022-07-02T00:12:09,467.75629357225006,42.010152068040156,276.78369813644923,6.562867590193059,276.78375824565,6.56276120324,319339537,4477224989128407424,11.968,15.036,13.402,0.00012200042026435772,-3.23,-3.2299999999999995
1,286.38038439250533,45.29326830210547,250080.88066090265,8.929498036277074,10.929498036277074,12.929498036277074,3193.561169644643,56.51160207996799,-7.013263086844553,Johnson V,5.0,2022-07-02T00:12:09,286.38038439250533,45.29326830210547,276.8472923477022,6.562500468389571,276.84715942580,6.56241284522,319339534,4477222279015897728,12.404,13.861,13.062,0.00015847801478592868,nan,-3.5059428955735297
1,626.2159040121016,52.95427510571733,259919.24526709592,9.024476620245533,11.024476620245533,13.024476620245533,7671.793520028412,87.58877508007754,-7.964817253268565,Johnson V,5.0,2022-07-02T00:12:09,626.2159040121016,52.95427510571733,276.7281960830732,6.5583698943383615,276.72815520978,6.55827376022,414958238,4477225676323175040,11.572,12.943,12.176,0.0001043580450390162,nan,-3.981113346951639
1,722.1033648559489,55.38970749945019,240368.4900686037,8.788342887815318,10.788342887815318,12.788342887815318,1601.8920752527774,40.02364395270347,-6.2641581213690225,Johnson V,5.0,2022-07-02T00:12:09,722.1033648559489,55.38970749945019,276.69458778114216,6.557100551030198,276.69462654532,6.55715125793,414958244,4477220045633053312,11.909,15.687,13.758,6.367304086427872e-05,nan,-3.131867979888721
1,805.3069046993961,57.98897348385403,253917.1113322871,9.037151856187084,11.037151856187084,13.037151856187084,917.9297401664662,30.29735533287462,-5.659598591330411,Johnson V,5.0,2022-07-02T00:12:09,805.3069046993961,57.98897348385403,276.66542552785666,6.555826865293593,276.66545788285,6.55593089160,414958252,4477220079992821760,12.447,16.530,14.117,0.00010887916278944567,nan,-2.8299736317687865
1,138.4445622675274,83.64912926769749,782820.3916709046,13.124486917890074,15.124486917890074,17.124486917890074,243243.60484182474,493.1973285023194,-11.717678566614559,Johnson V,5.0,2022-07-02T00:12:09,138.4445622675274,83.64912926769749,276.8993172086536,6.54977708416195,276.89922030390,6.54976467119,319710489,4477223447246934272,8.570,9.258,8.932,9.706921194882226e-05,nan,-5.855151491226282
1,219.2608707627644,90.75244931292538,269807.2771010919,9.104987860199916,11.104987860199916,13.104987860199916,12386.09467051053,111.2928329700998,-8.484910976971962,Johnson V,5.0,2022-07-02T00:12:09,219.2608707627644,90.75244931292538,276.87102610169313,6.5469652371956055,276.87095999963,6.54695633390,319339460,4477221999831170560,11.263,11.773,11.330,6.627177503075527e-05,nan,-4.2408286402804505
1,387.09792466477495,90.32893785122128,238683.11538973605,8.732555658450572,10.732555658450572,12.732555658450572,2471.862035125523,49.71782411897692,-6.735135557451323,Johnson V,5.0,2022-07-02T00:12:09,387.09792466477495,90.32893785122128,276.81219688421294,6.54639783530957,276.81212166603,6.54641930575,319339457,4477225092204778240,11.133,15.368,13.424,7.77509881118736e-05,nan,-3.3670564418689386
1,803.8726085479177,92.33788355567374,257776.5148097884,8.96174649775622,10.96174649775622,12.96174649775622,8973.042738041811,94.72614601070715,-8.134924329843413,Johnson V,5.0,2022-07-02T00:12:09,803.8726085479177,92.33788355567374,276.66609153983586,6.543875183189127,276.66614384173,6.54382712882,414958296,4477219903887130368,10.963,13.248,11.931,7.077558061790308e-05,nan,-4.0660584391080254
1,826.8037977405696,99.35688932930374,609313.6203603975,12.007757476319888,14.007757476319888,16.007757476319888,162133.88875685108,402.65852624382745,-11.277259487445123,Johnson V,5.0,2022-07-02T00:12:09,826.8037977405696,99.35688932930374,276.6580841130897,6.5413292653985655,276.65814421350,6.54130200238,414958308,4477219873834778368,8.785,9.208,9.000,6.563882486035328e-05,nan,-5.635222726234443
1,882.7900850553892,101.15898902621254,334219.6107727804,9.711018506469175,11.711018506469175,13.711018506469175,41080.821987116884,202.68404472754358,-9.786672801211223,Johnson V,5.0,2022-07-02T00:12:09,882.7900850553892,101.15898902621254,276.63846088266496,6.540451042728019,276.63850122899,6.54042211443,26026751,4477219942553878912,10.268,10.645,10.564,4.943230330018032e-05,nan,-4.890879657276293
