id,xcenter,ycenter,aperture_sum,aper_radius,circular_annulus_inner,circular_annulus_outer,aperture_sum_bkgsub,fluxerr,inst. mag,filter,exptime,dateobs,xcentroid,ycentroid,ra,dec,RAJ2000,DEJ2000,TIC,GAIA,Tmag,Bmag,Vmag,distance,is reference,calib mag
1,404.7427301513523,675.9672312116899,143501.3578133635,6.590773408365766,8.590773408365767,10.590773408365767,6780.7528688790335,82.34532694014295,-5.5730448126336976,Johnson B,40.0,2022-07-02T00:15:45,404.7427301513523,675.9672312116899,276.80668081221313,6.341064534455807,276.80667334687,6.34111667442,319338416,4477166371414766464,10.659,14.638,13.099,5.266523873907754e-05,True,14.831224426595039
1,405.11052540615276,582.0375331259362,158730.6851852166,6.82966704152343,8.829667041523429,10.829667041523429,12181.314386161073,110.36899195952219,-6.2090854016707775,Johnson B,40.0,2022-07-02T00:15:45,405.11052540615276,582.0375331259362,276.8061387385914,6.373738787699189,276.80605684543,6.37362002482,319338580,4477166753677002880,12.905,13.964,13.376,0.00014397382480184335,True,14.145054374470995
1,405.197240574763,446.02173404842046,275997.20031760284,7.824052488457407,9.824052488457408,11.824052488457408,82898.5951441456,287.92116133439305,-8.291217948589097,Johnson B,40.0,2022-07-02T00:15:45,405.197240574763,446.02173404842046,276.80551115931587,6.421056372797371,276.80545250761,6.42106385432,319338837,4477214204477252224,10.550,11.353,10.845,5.8761992809710354e-05,True,11.898818799456738
1,439.57101836006615,508.7949937639586,134709.43763219385,6.395105646339739,8.39510564633974,10.39510564633974,6437.384651625602,80.23331385170128,-5.516623672196879,Johnson B,40.0,2022-07-02T00:15:45,439.57101836006615,508.7949937639586,276.7937526555578,6.399066247492181,276.79382650518,6.39914771536,319338705,4477213787853710720,11.409,14.806,12.985,0.00010964959737500289,True,14.892092392479167
1,447.8897008019095,112.22738217374008,177315.6603719053,6.901059198237501,8.901059198237501,10.901059198237501,27072.064360626828,164.53590599205643,-7.0761534562897275,Johnson B,40.0,2022-07-02T00:15:45,447.8897008019095,112.22738217374008,276.7891014228056,6.536998741903253,276.78909570088,6.53737804611,319339422,4477224679890764160,11.336,13.026,11.999,0.0003793468035005204,True,13.209648454648017
1,459.9915893791462,464.59404084692994,146971.9320259724,6.564642249954418,8.564642249954417,10.564642249954417,11314.590067649697,106.37006189548681,-6.128947081440828,Johnson B,40.0,2022-07-02T00:15:45,459.9915893791462,464.59404084692994,276.7864088096972,6.414353276136966,276.78640979835,6.41439076871,319338798,4477214376275956096,12.847,13.918,13.293,3.7505443175820316e-05,True,14.231508786842015
1,462.24380475594495,38.08811013767209,137617.40725514962,6.504318275808307,8.504318275808307,10.504318275808307,4674.907281986729,68.37329363126167,-5.169282526374781,Johnson B,40.0,2022-07-02T00:15:45,462.24380475594495,38.08811013767209,276.7837506544243,6.56273128179807,276.78375824565,6.56276120324,319339537,4477224989128407424,11.968,15.036,13.402,3.0857197651201266e-05,True,15.26680918923957
1,472.6421498095641,317.44278459585274,139711.0146386686,6.4565161440091865,8.456516144009186,10.456516144009186,8332.100419028196,91.28033971797102,-5.796736260313141,Johnson B,40.0,2022-07-02T00:15:45,472.6421498095641,317.44278459585274,276.7813324715989,6.465492207378004,276.78135741018,6.46544946891,319339057,4477215407068775936,12.690,14.265,13.364,4.9402667136477835e-05,True,14.589902764173653
1,480.3968244385414,506.6712750543347,122473.45896865995,6.151277452145771,8.15127745214577,10.15127745214577,2026.9207811430388,45.02133695419361,-4.2619419600323125,Johnson B,40.0,2022-07-02T00:15:45,480.3968244385414,506.6712750543347,276.7794500278962,6.399624498876769,276.77940256766,6.39968538499,319338709,4477213757800654592,12.319,16.422,13.763,7.701693380767117e-05,True,16.24566169398935
1,481.9361024,770.6356608,148718.66883140363,6.576124708396606,8.576124708396605,10.576124708396605,12961.081669005274,113.84674641378767,-6.2764531395747145,Johnson B,40.0,2022-07-02T00:15:45,481.9361024,770.6356608,276.7800780932513,6.307788027148345,276.78002917387,6.30789981972,319338250,4477164756507064448,12.339,13.788,13.022,0.0001219089683438229,True,14.07237705634731
1,498.92413645173804,110.86177940265925,2744289.039000881,22.564398351258014,24.564398351258014,26.564398351258014,1137994.0654942947,1066.7680467160117,-11.135200014855403,Johnson B,40.0,2022-07-02T00:15:45,498.92413645173804,110.86177940265925,276.77122265290507,6.537251125391195,276.77122050966,6.53726886426,319339418,4477224649837896320,7.414,8.965,8.200,1.7866209068415095e-05,True,8.830688626185621
1,512.0561333065649,721.4249749046377,140348.03215849702,6.472545242750631,8.47254524275063,10.47254524275063,8927.089255914267,94.48327500629023,-5.871624714209363,Johnson B,40.0,2022-07-02T00:15:45,512.0561333065649,721.4249749046377,276.7693162248967,6.324773083056625,276.76916331003,6.32477025659,319338339,4477165031380699264,12.475,14.271,13.269,0.00015201041780875865,True,14.509111985724662
1,515.3355733758249,159.94996276218023,160110.67414193155,6.880104499039659,8.880104499039659,10.880104499039659,10897.799610166461,104.39252660112437,-6.088197066157514,Johnson B,40.0,2022-07-02T00:15:45,515.3355733758249,159.94996276218023,276.7656903794836,6.5201001172675825,276.76611569993,6.52037503661,319339343,4477224546758666880,12.580,14.114,13.255,0.0005041284918756417,True,14.275470509714667
1,519.0696479543292,198.37878211227402,131394.60239685347,6.4199869583480345,8.419986958348034,10.419986958348034,1943.190206621788,44.08163117015735,-4.216138304243958,Johnson B,40.0,2022-07-02T00:15:45,519.0696479543292,198.37878211227402,276.7645514438362,6.50671326771138,276.76456852808,6.50679822125,414958449,4477218671243389696,12.332,16.103,14.157,8.663271347377646e-05,True,16.295075359440087
1,520.7683943746641,414.3916899689404,1144487.2083210414,14.107077831527718,16.107077831527718,18.107077831527718,514573.3863049521,717.3377072934003,-10.273468323626936,Johnson B,40.0,2022-07-02T00:15:45,520.7683943746641,414.3916899689404,276.76490769250586,6.431550643192786,276.76490935057,6.43153763127,319338881,4477214822952598528,9.264,9.763,9.434,1.311582310726627e-05,True,9.760337597774612
1,533.343700723138,869.3982856271713,573731.7274993106,10.08206867028376,12.08206867028376,14.08206867028376,253340.17561695597,503.3290927583622,-9.50411018985159,Johnson B,40.0,2022-07-02T00:15:45,533.343700723138,869.3982856271713,276.762522158425,6.27320121480471,276.76239510119,6.27343631133,414959372,4477163489501773184,9.320,10.545,9.903,0.0002668729272538503,True,10.590332601008457
