id,xcenter,ycenter,aperture_sum,aper_radius,circular_annulus_inner,circular_annulus_outer,aperture_sum_bkgsub,fluxerr,inst. mag,filter,exptime,dateobs,xcentroid,ycentroid,ra,dec,RAJ2000,DEJ2000,TIC,GAIA,Tmag,Bmag,Vmag,distance,is reference,calib mag
1,15.859534503879134,207.85082346536,156738.77624790737,6.979191848789335,8.979191848789334,10.979191848789334,3839.657486833952,61.964969836464476,-7.213306202284234,Johnson V,5.0,2022-07-02T00:12:09,15.859534503879134,207.85082346536,276.9428315824615,6.507076097079746,276.94267847874,6.50708051901,319710684,4477222347735204480,11.725,14.190,12.782,0.00015218166376616468,True,12.775436106769492
1,25.091142857142856,476.04219047619046,142458.31311738095,6.692254809137084,8.692254809137083,10.692254809137083,2045.5475117042952,45.22772945554856,-6.5295989173127476,Johnson V,5.0,2022-07-02T00:12:09,25.091142857142856,476.04219047619046,276.94076543975905,6.413735011186217,276.94071799962,6.41381623139,319711174,4477172285594781440,12.332,14.954,13.483,9.39106185074205e-05,True,13.418771728495532
1,25.309974618088948,257.63062225094984,181838.72850798874,7.007220109167881,9.007220109167882,11.007220109167882,27720.35176100713,166.4942994850188,-9.3595718316875,Johnson V,5.0,2022-07-02T00:12:09,25.309974618088948,257.63062225094984,276.9397405155598,6.489717779262158,276.93953327328,6.48982661618,319710766,4477173934862326144,10.480,11.153,10.664,0.00023290806308654433,True,10.755903532768963
1,28.1734693877551,964.9683357879234,144782.1836764591,6.746154839616042,8.746154839616043,10.746154839616043,2131.026313506125,46.16304055742131,-6.574047019991628,Johnson V,5.0,2022-07-02T00:12:09,28.1734693877551,964.9683357879234,276.94170237683403,6.243650259995802,276.94150980785,6.24377000242,319712092,4477161183094275712,12.200,15.041,13.516,0.00022579290743616212,True,13.376948204891196
1,38.27643004824259,175.3118883528601,177605.09297788274,6.966420500932286,8.966420500932287,10.966420500932287,25499.795081323857,159.6865526001606,-9.268916715204853,Johnson V,5.0,2022-07-02T00:12:09,38.27643004824259,175.3118883528601,276.9348320604167,6.518303225257059,276.93463035303,6.51833001434,319710628,4477222416454704768,10.438,11.311,10.887,0.00020218606971105237,True,10.841205630621326
1,42.2593682056529,979.497825808927,136186.7732101797,6.521616591359696,8.521616591359695,10.521616591359695,3099.0778016163385,55.6693614263388,-6.9806561872513235,Johnson V,5.0,2022-07-02T00:12:09,42.2593682056529,979.497825808927,276.9368276461592,6.238534815635212,276.93655159987,6.23862860623,319712117,4477161084319849344,12.542,13.799,13.118,0.00028999719448995724,True,12.994348564418692
1,65.73021467478372,904.7167574495354,134371.32400938816,6.511670823776991,8.511670823776992,10.511670823776992,2172.7858033325174,46.613150540727425,-6.595117276641169,Johnson V,5.0,2022-07-02T00:12:09,65.73021467478372,904.7167574495354,276.9283097376779,6.264442428462778,276.92813338765,6.26459007745,319711987,4477161256118581504,12.111,15.142,13.515,0.00022919262482407407,True,13.357122108315195
1,75.80765396119334,211.26627808881048,149882.09387093125,6.735636353010847,8.735636353010847,10.735636353010847,8301.249834425631,91.11119489077964,-8.050433700621419,Johnson V,5.0,2022-07-02T00:12:09,75.80765396119334,211.26627808881048,276.9218413511365,6.505636677430782,276.92176324579,6.50571419012,319710694,4477220934679285248,10.948,13.462,11.986,0.00010968294829090759,True,11.987739454350208
1,76.464563617245,526.7446898002103,130123.18785081967,6.40920278464333,8.40920278464333,10.40920278464333,1991.8815489841072,44.6305002098801,-6.500733760935234,Johnson V,5.0,2022-07-02T00:12:09,76.464563617245,526.7446898002103,276.92298512914306,6.395877131789559,276.92283170360,6.39578738833,319711276,4477172143846921984,12.847,14.592,13.688,0.00017692139612970987,True,13.44593245024376
1,97.24729344729344,317.23361823361824,112867.36012539393,5.9443720396224755,7.9443720396224755,9.944372039622476,2808.512828345745,52.995403841708246,-6.873766018980943,Johnson V,5.0,2022-07-02T00:12:09,97.24729344729344,317.23361823361824,276.9147977844444,6.468677881549422,276.91456115906,6.46889042694,319710880,4477173758755089408,12.583,14.124,13.209,0.0003169486258142739,True,13.094927063978623
1,99.89807968565151,134.66939538617544,610959.0821590145,10.475507979473788,12.475507979473788,14.475507979473788,267470.9635317733,517.1759502642918,-11.82076659465693,Johnson V,5.0,2022-07-02T00:12:09,99.89807968565151,134.66939538617544,276.9130565840256,6.532186177655765,276.91296388536,6.53215390183,319710560,4477222622613176320,8.184,8.674,8.440,9.758874931227441e-05,True,8.440037813874593
1,99.9379042690815,374.83182406209573,137677.08289080253,6.606404136562546,8.606404136562546,10.606404136562546,1775.916436889238,42.14162356731451,-6.376131306263465,Johnson V,5.0,2022-07-02T00:12:09,99.9379042690815,374.83182406209573,276.914107112217,6.448627186417437,276.91401814520,6.44885167189,319710983,4477173316387008384,12.629,15.135,13.730,0.00024126543922404022,True,13.563177358125934
1,109.04148871262966,332.78593218861675,144533.83766853885,6.645655755364016,8.645655755364016,10.645655755364016,7071.335056976473,84.09123055929479,-7.876328528298968,Johnson V,5.0,2022-07-02T00:12:09,109.04148871262966,332.78593218861675,276.91073365144734,6.46321689948279,276.91050503982,6.46335073233,319710905,4477173758758508160,10.920,13.794,12.175,0.00026365179296882304,True,12.151564035049908
1,111.21761658031087,719.5829015544041,121932.2010730397,6.207085407626934,8.207085407626934,10.207085407626934,1844.528435362532,42.947973588547015,-6.417288375971385,Johnson V,5.0,2022-07-02T00:12:09,111.21761658031087,719.5829015544041,276.91162222048797,6.3286427828321905,276.91152515418,6.32845703704,319711639,4477165757244411392,11.297,15.578,13.720,0.00020930572491359577,True,13.524450538021814
