Timestamp (JD), Filter, Ref1 : Magnitude (Centroid), Ref2 : Magnitude (Centroid), Ref3 : Magnitude (Centroid), Ref4 : Magnitude (Centroid), Obj1 : Magnitude (Centroid), Obj2 : Magnitude (Centroid), Obj3 : Magnitude (Centroid), Obj4 : Magnitude (Centroid), Obj5 : Magnitude (Centroid), Obj6 : Magnitude (Centroid), Obj7 : Magnitude (Centroid), Obj8 : Magnitude (Centroid), Obj9 : Magnitude (Centroid), Obj10 : Magnitude (Centroid)
2460126.4091087962, Johnson B, 11.803, 10.816, 10.321, 9.416, 10.093, 9.668, 9.215, 7.791, 9.358, 7.826, 11.867, 11.210, 11.316, 12.431
2460126.4086805554, Johnson V, 11.472, 11.493, 10.943, 10.272, 10.688, 10.450, 10.160, 8.081, 10.198, 8.738, 12.543, 11.649, 11.699, 340282346638528859811704183484516925440.000
