Timestamp (JD), Filter, TYC 445-1761-1 : Magnitude (Centroid), Ref2 : Magnitude (Centroid), Ref3 : Magnitude (Centroid), Ref4 : Magnitude (Centroid), Obj1 : Magnitude (Centroid), Obj2 : Magnitude (Centroid), Obj3 : Magnitude (Centroid), Obj4 : Magnitude (Centroid), Obj5 : Magnitude (Centroid), Obj6 : Magnitude (Centroid), Obj7 : Magnitude (Centroid), Obj8 : Magnitude (Centroid), Obj9 : Magnitude (Centroid), Obj10 : Magnitude (Centroid), Obj11 : Magnitude (Centroid), Obj12 : Magnitude (Centroid), Obj13 : Magnitude (Centroid), Obj14 : Magnitude (Centroid), Obj15 : Magnitude (Centroid), Obj16 : Magnitude (Centroid), Obj17 : Magnitude (Centroid), Obj18 : Magnitude (Centroid), Obj19 : Magnitude (Centroid), Obj20 : Magnitude (Centroid), Obj21 : Magnitude (Centroid), Obj22 : Magnitude (Centroid), Obj23 : Magnitude (Centroid), Obj24 : Magnitude (Centroid), Obj25 : Magnitude (Centroid)
2460126.4091087962, Johnson B, 11.802, 10.817, 10.322, 9.417, 7.494, 6.838, 8.107, 7.299, 10.267, 8.547, 11.327, 7.455, 8.525, 11.468, 8.523, 11.350, 7.092, 10.062, 11.439, 11.696, 11.799, 11.557, 11.995, 12.108, 11.828, 12.311, 11.504, 12.813, 12.682
2460126.4086805554, Johnson V, 11.472, 11.493, 10.943, 10.272, 7.972, 7.899, 9.012, 8.165, 10.382, 9.410, 12.108, 8.259, 9.352, 11.911, 9.383, 11.938, 8.014, 10.797, 11.955, 12.353, 12.337, 12.229, 12.882, 12.690, 11.890, 12.099, 12.875, 13.196, 13.486
