J033822.58+222958.9  54.5940677  22.4996817   19.4  -44.0 1.0 1.0 10.824 0.047 10.107 0.036  9.978  0.100 10.485  0.039  9.800  0.027  9.018 0.030  8.775 0.023  8.696 0.018 AAA  8.643 0.022  8.693 0.019  8.685 0.030    ---   --- 0.9977   6000  125  1.408e+00  2.4e-01
J033840.72+223934.6  54.6696661  22.6596121   19.5  -45.6 0.8 0.7  6.685 0.014  6.699 0.010    ---    ---    ---    ---    ---    ---  6.641 0.026  6.675 0.017  6.672 0.021 AAA  6.658 0.038  6.668 0.020  6.747 0.016  6.624 0.095 0.9987   9000  125  3.512e+01  5.7e+00
J033856.86+243411.3  54.7369153  24.5697984   18.1  -43.8 1.7 1.8 11.320 0.072 10.613 0.057 10.356  0.028 10.859  0.067 10.168  0.064  9.358 0.029  9.053 0.032  9.041 0.020 AAA  8.919 0.024  8.962 0.021  8.932 0.031  8.666 0.434 0.9825   5750  125  9.876e-01  1.7e-01
J033906.72+244210.3  54.7780159  24.7028701   21.5  -46.5 1.3 1.1  7.148 0.015  7.104 0.010    ---    ---    ---    ---    ---    ---  6.979 0.024  7.025 0.038  7.032 0.020 AAA  6.980 0.035  7.015 0.021  7.001 0.017  6.338 0.072 0.9924   9250  125  2.629e+01  4.2e+00
J033909.13+242204.1  54.7880230  24.3677979   19.9  -41.8 1.2 1.2 10.512 0.038  9.884 0.032  9.697  0.100 10.271  0.089  9.556  0.047  8.728 0.024  8.540 0.063  8.434 0.024 AAA  8.358 0.023  8.371 0.020  8.339 0.023  8.325 0.312 0.9899   6000  125  1.823e+00  3.2e-01
J033913.20+215035.7  54.8050069  21.8432498   20.6  -42.4 1.1 1.0  7.350 0.015  7.272 0.011  8.847 -0.000    ---    ---  8.103  0.055  7.060 0.018  7.059 0.016  7.052 0.021 AAA  7.067 0.030  7.081 0.019  7.098 0.018  7.000 0.100 0.9936   8750  125  1.823e+01  3.0e+00
J033913.47+242759.5  54.8061378  24.4665192   20.2  -44.0 1.6 1.7 11.095 0.058 10.488 0.051 10.207  0.100 10.719  0.045 10.046  0.038  9.232 0.023  8.999 0.033  8.905 0.022 AAA  8.813 0.023  8.834 0.021  8.834 0.029  8.835 0.444 0.9921   5750  125  1.114e+00  1.9e-01
J033927.81+235342.0  54.8658682  23.8949987   21.0  -45.2 1.7 1.7 12.779 0.271 11.672 0.142 11.252  0.034 12.014  0.058 11.017  0.041  9.957 0.026  9.556 0.032  9.475 0.020 AAA  9.419 0.023  9.476 0.021  9.372 0.041    ---   --- 0.9732   5000  125  4.490e-01  8.4e-02
J033941.18+231727.2  54.9215630  23.2908865   22.2  -43.7 1.0 1.1 10.686 0.045  9.999 0.036  9.809  0.100    ---    ---  9.649  0.010  8.920 0.020  8.686 0.020  8.634 0.019 AAA  8.580 0.024  8.608 0.021  8.401 0.029  7.326 0.135 0.9974   6000  125  1.582e+00  2.7e-01
J033951.16+251141.5  54.9631692  25.1948517   18.7  -43.3 1.1 1.0  9.220 0.020  8.881 0.017  8.894 -0.000    ---    ---    ---    ---  8.086 0.034  7.936 0.047  7.911 0.018 AAA  7.881 0.023  7.912 0.019  7.921 0.021  7.863 0.196 0.9971   6750  125  3.892e+00  6.5e-01
J034003.08+274425.8  55.0128326  27.7405102   17.8  -46.3 1.6 1.6 10.234 0.032  9.626 0.026  9.611  0.049 10.261  0.042  9.358  0.048  8.638 0.026  8.479 0.055  8.373 0.027 AAA  8.334 0.023  8.360 0.021  8.313 0.021  8.111 0.223 0.9978   6000  125  2.017e+00  3.5e-01
